Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Result
1,0,0,0,Yes,Master,Pass
2,9,95,60,No,High School,Fail
3,0,0,0,No,Associate,Fail
4,17,76,62,Yes,Bachelor,Fail
5,8,89,72,No,Master,Fail
6,8,73,69,Yes,High School,Pass
7,17,38,93,No,Doctorate,Pass
8,13,95,59,Yes,Doctorate,Fail
9,7,100,91,No,Bachelor,Pass
10,12,38,37,Yes,High School,
11,7,54,72,No,Master,Fail
12,7,115,41,Yes,Master,Fail
13,11,79,49,Yes,Bachelor,
14,0,75,50,,,Pass
15,1,66,49,No,Associate,Pass
16,7,54,55,Yes,High School,Fail
17,4,71,98,Yes,High School,Fail
18,11,94,51,No,Bachelor,Pass
19,5,74,40,No,Doctorate,Fail
20,2,87,72,No,Associate,Pass
21,17,110,68,No,Bachelor,Pass
22,8,63,98,No,Doctorate,Fail
23,10,81,64,No,High School,Fail
24,2,95,30,No,Bachelor,Pass
25,7,56,58,Yes,High School,Pass
26,0,0,0,No,Doctorate,Pass
27,4,112,46,,High School,Pass
28,11,68,56,Yes,High School,Fail
29,7,96,62,Yes,Associate,Fail
30,8,72,64,No,Doctorate,Pass
31,7,111,44,No,Doctorate,Pass
32,19,42,74,Yes,Associate,Pass
33,9,76,89,No,Associate,Fail
34,4,45,69,No,Doctorate,Pass
35,14,61,81,No,High School,Pass
36,3,60,67,Yes,Master,Fail
37,11,69,49,Yes,Master,Pass
38,0,51,69,No,Master,Pass
39,3,73,57,Yes,Master,Pass
40,11,84,48,No,Master,Pass
41,0,0,0,Yes,Master,Pass
42,10,62,77,Yes,Bachelor,Pass
43,9,125,59,Yes,Associate,Fail
44,8,81,94,Yes,,Fail
45,2,38,79,No,Doctorate,Pass
46,6,47,56,No,High School,Fail
47,7,79,56,No,Doctorate,Fail
48,15,77,97,Yes,High School,Pass
49,11,63,60,,Associate,Fail
50,1,118,70,No,Master,Pass
51,11,127,71,Yes,High School,Pass
52,8,69,39,No,Doctorate,Fail
53,6,92,39,Yes,Doctorate,Pass
54,0,0,0,No,,Pass
55,15,96,49,Yes,,
56,14,62,65,No,Bachelor,Pass
57,5,113,42,Yes,Doctorate,Pass
58,8,73,60,Yes,,Fail
59,11,83,68,No,Master,Pass
60,14,75,34,No,High School,Fail
61,7,72,65,No,High School,Pass
62,9,80,66,No,Bachelor,Fail
63,4,51,58,Yes,Associate,Pass
64,4,35,48,Yes,Associate,Pass
65,14,70,59,Yes,High School,Fail
66,16,57,59,No,High School,Pass
67,9,86,93,No,Associate,Fail
68,15,83,63,Yes,,Pass
69,11,75,58,No,Doctorate,Fail
70,6,104,63,No,Associate,Fail
71,11,74,71,,Master,Pass
72,17,45,70,Yes,Bachelor,Pass
73,9,70,71,Yes,Master,Fail
74,17,98,74,No,Doctorate,Pass
75,-3,37,43,No,Master,Pass
76,14,73,72,No,Doctorate,Pass
77,10,86,67,No,Doctorate,Pass
78,8,128,55,Yes,Bachelor,Pass
79,10,99,66,No,High School,Pass
80,0,77,63,No,Associate,Pass
81,8,85,64,No,Doctorate,Pass
82,11,37,67,No,Master,Pass
83,0,0,0,No,Master,Fail
84,0,0,0,No,Bachelor,
85,6,78,74,No,Bachelor,Pass
86,7,80,68,No,Doctorate,Pass
87,14,75,54,Yes,Master,Fail
88,11,74,52,Yes,Master,Fail
89,7,77,67,Yes,Bachelor,Pass
90,12,53,77,No,Doctorate,Fail
91,10,70,84,Yes,,Fail
92,0,0,0,Yes,High School,Pass
93,6,62,72,Yes,High School,Pass
94,8,98,26,No,Doctorate,Pass
